SourceDocumentName,ID,DocumentID,PassageID,Passage,ReferenceText,ReferenceType
AML_VER09.211223,ba2e367e-866d-49dd-af15-4ea075c30714,1,9.3.1B.Guidance.5.,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,GEN 3.3.31,External
AML_VER09.211223,ba2e367e-866d-49dd-af15-4ea075c30714,1,9.3.1B.Guidance.5.,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,GEN 3.3.31 and 3.3.32,External
AML_VER09.211223,ba2e367e-866d-49dd-af15-4ea075c30714,1,9.3.1B.Guidance.5.,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,PRU 6.8,External
AML_VER09.211223,ba2e367e-866d-49dd-af15-4ea075c30714,1,9.3.1B.Guidance.5.,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,MIR 2.14,External
AML_VER09.211223,611c820f-2988-4e25-9091-4a3b299501b4,1,9.3.1B.Guidance.2.,"When undertaking an assurance assessment of an eKYC System for the purpose of Rule 9.3.1A, a Relevant Person should seek to establish that the eKYC System is reliable and independent, and allows the Relevant Person to comply with all applicable Rules of the Regulator. In addition, a Relevant Person should consider applying guidance on assurance standards issued by the Regulator, competent U.A.E. authorities, FATF, and other relevant standard setting bodies.",9.3.1A,Internal
AML_VER09.211223,8a894691-4b15-41d9-849e-d49810c564ac,1,9.1.2.Guidance.5.,"If a Relevant Person relies on a third party located in a foreign jurisdiction to conduct one or more elements of CDD on its behalf, the Relevant Person must ensure that the foreign jurisdiction has AML/TFS regulations which are equivalent to the standards in the FATF Recommendations (see Rule 9.1.1(3)(c)).",9.1.1(3)(c) ,Internal
AML_VER09.211223,06794d47-81ee-49d0-bf3a-58e87a031da4,1,9.1.2.(1),"When assessing under Rule 9.1.1(3) or (4) if AML/TFS regulations in another jurisdiction are equivalent to FATF standards, a Relevant Person must take into account factors including, but not limited to:
(a)	mutual evaluations, assessment reports or follow-up reports published by FATF, the IMF, the World Bank, the OECD or other International Organisations;
(b)	membership of FATF or other international or regional groups such as the MENAFATF or the Gulf Co-operation Council;
(c)	contextual factors such as political stability or the level of corruption in the jurisdiction;
(d)	evidence of recent criticism of the jurisdiction, including in:
(i)	FATF advisory notices;
(ii)	public assessments of the jurisdictions AML/TFS regimes by organisations referred to in (a); or
(iii)	reports by other relevant non-government organisations or specialist commercial organisations;
(e)	whether adequate arrangements exist for co-operation between the AML/TFS regulator in that jurisdiction and the Regulator.",9.1.1(3),Internal
AML_VER09.211223,06794d47-81ee-49d0-bf3a-58e87a031da4,1,9.1.2.(1),"When assessing under Rule 9.1.1(3) or (4) if AML/TFS regulations in another jurisdiction are equivalent to FATF standards, a Relevant Person must take into account factors including, but not limited to:
(a)	mutual evaluations, assessment reports or follow-up reports published by FATF, the IMF, the World Bank, the OECD or other International Organisations;
(b)	membership of FATF or other international or regional groups such as the MENAFATF or the Gulf Co-operation Council;
(c)	contextual factors such as political stability or the level of corruption in the jurisdiction;
(d)	evidence of recent criticism of the jurisdiction, including in:
(i)	FATF advisory notices;
(ii)	public assessments of the jurisdictions AML/TFS regimes by organisations referred to in (a); or
(iii)	reports by other relevant non-government organisations or specialist commercial organisations;
(e)	whether adequate arrangements exist for co-operation between the AML/TFS regulator in that jurisdiction and the Regulator.",9.1.1(3)(4),Internal
AML_VER09.211223,32b078c5-682a-457e-9d94-482e8a9af33e,1,9.1.1.(4),"Where a Relevant Person relies on a member of its Group to conduct one or more of the elements of CDD on its behalf, such Group member need not meet the condition in (3)(c) if:
(a)	the Group is subject to policies and requirements equivalent to FATF standards, either:
(i)	where the Group applies and implements a Group-wide policy on CDD and record-keeping which is equivalent to the standards set by FATF; or
(ii)	where the effective implementation of those CDD and record-keeping requirements and AML/TFS programmes are supervised at Group level by a Non-ADGM Financial Services Regulator or other competent authority in a jurisdiction with AML/TFS regulations that are equivalent to the standards set out in the FATF Recommendations;
(b)	no exception from identification obligations has been applied in the original identification process; and
(c)	a written statement is received from the introducing member of the Relevant Person's Group confirming that:
(i)	the customer has been identified in accordance with the relevant standards under (4)(a) and (b);
(ii)	any identification evidence can be accessed by the Relevant Person without delay; and
(iii)	the identification evidence will be kept for at least six years.",(3)(c),Internal
AML_VER09.211223,32b078c5-682a-457e-9d94-482e8a9af33e,1,9.1.1.(4),"Where a Relevant Person relies on a member of its Group to conduct one or more of the elements of CDD on its behalf, such Group member need not meet the condition in (3)(c) if:
(a)	the Group is subject to policies and requirements equivalent to FATF standards, either:
(i)	where the Group applies and implements a Group-wide policy on CDD and record-keeping which is equivalent to the standards set by FATF; or
(ii)	where the effective implementation of those CDD and record-keeping requirements and AML/TFS programmes are supervised at Group level by a Non-ADGM Financial Services Regulator or other competent authority in a jurisdiction with AML/TFS regulations that are equivalent to the standards set out in the FATF Recommendations;
(b)	no exception from identification obligations has been applied in the original identification process; and
(c)	a written statement is received from the introducing member of the Relevant Person's Group confirming that:
(i)	the customer has been identified in accordance with the relevant standards under (4)(a) and (b);
(ii)	any identification evidence can be accessed by the Relevant Person without delay; and
(iii)	the identification evidence will be kept for at least six years.",(4)(a),Internal
AML_VER09.211223,32b078c5-682a-457e-9d94-482e8a9af33e,1,9.1.1.(4),"Where a Relevant Person relies on a member of its Group to conduct one or more of the elements of CDD on its behalf, such Group member need not meet the condition in (3)(c) if:
(a)	the Group is subject to policies and requirements equivalent to FATF standards, either:
(i)	where the Group applies and implements a Group-wide policy on CDD and record-keeping which is equivalent to the standards set by FATF; or
(ii)	where the effective implementation of those CDD and record-keeping requirements and AML/TFS programmes are supervised at Group level by a Non-ADGM Financial Services Regulator or other competent authority in a jurisdiction with AML/TFS regulations that are equivalent to the standards set out in the FATF Recommendations;
(b)	no exception from identification obligations has been applied in the original identification process; and
(c)	a written statement is received from the introducing member of the Relevant Person's Group confirming that:
(i)	the customer has been identified in accordance with the relevant standards under (4)(a) and (b);
(ii)	any identification evidence can be accessed by the Relevant Person without delay; and
(iii)	the identification evidence will be kept for at least six years.",(4)(b),Internal
AML_VER09.211223,87f39d78-d193-4459-b27e-57a39d5c61de,1,8.6.2.Guidance.2.,"In complying with Rule 8.6.1(d), a Relevant Person should undertake a periodic review to ensure that non-static customer identity documentation is accurate and up to date.  A Relevant Person is expected to ensure that the information and the evidence obtained from a customer is valid and has not expired, for example when obtaining copies of identification documentation such as a passport or identification card.  Examples of non-static identity documentation include passport number and residential/business address and, for a Legal Person, its share register or list of partners.",8.6.1(d),Internal
AML_VER09.211223,cb40cc9f-1271-40bd-8bc6-2f4e6fce615a,1,8.3.2.Guidance on CDD.9.,"When employing an eKYC System to assist with CDD, a Relevant Person should:
a.	ensure that it has a thorough understanding of the eKYC System itself and the risks of eKYC, including those outlined by relevant guidance from FATF and other international standard setting bodies;
b.	comply with all the Rules of the Regulator relevant to eKYC including, but not limited to, applicable requirements regarding the business risk assessment, as per Rule 6.1, and outsourcing, as per Rule 9.3;
c.	combine eKYC with transaction monitoring, anti-fraud and cyber-security measures to support a wider framework preventing applicable Financial Crime; and
d.	take appropriate steps to identify, assess and mitigate the risk of the eKYC system being misused for the purposes of Financial Crime.",6.1,Internal
AML_VER09.211223,cb40cc9f-1271-40bd-8bc6-2f4e6fce615a,1,8.3.2.Guidance on CDD.9.,"When employing an eKYC System to assist with CDD, a Relevant Person should:
a.	ensure that it has a thorough understanding of the eKYC System itself and the risks of eKYC, including those outlined by relevant guidance from FATF and other international standard setting bodies;
b.	comply with all the Rules of the Regulator relevant to eKYC including, but not limited to, applicable requirements regarding the business risk assessment, as per Rule 6.1, and outsourcing, as per Rule 9.3;
c.	combine eKYC with transaction monitoring, anti-fraud and cyber-security measures to support a wider framework preventing applicable Financial Crime; and
d.	take appropriate steps to identify, assess and mitigate the risk of the eKYC system being misused for the purposes of Financial Crime.",9.3,Internal
AML_VER09.211223,10448f13-24a6-4b31-831f-779fc02b8131,1,7.2.4.Guidance on anonymous accounts,"
A Relevant Person should note that, in addition to the prohibition in Rule 7.2.3 against knowingly establishing anonymous accounts, accounts in a fictitious name or nominee accounts, the Federal AML Legislation also prohibits the opening of accounts held under borrowed, mock or fake names or accounts designated solely with numbers and without the names of account holders.",7.2.3,Internal
AML_VER09.211223,0ab1cb10-020d-43a9-94ea-fd6de14133ff,1,7.1.3.(2),"For the purposes of 7.1.3(1)(c), a credible source includes, but is not limited to, mutual evaluations, detailed assessment reports or follow-up reports issued by FATF, the IMF, the World Bank, the OECD and other International Organisations.",7.1.3(1)(c) ,Internal
AML_VER09.211223,d9e3fef9-b049-4b8f-9140-4d98002c3dab,1,7.1.2.(2),"For the purposes of 7.1.2(1)(c), a credible source includes, but is not limited to, mutual evaluations, detailed assessment reports or follow-up reports issued by FATF, the International Monetary Fund (IMF), the World Bank, the OECD and other International Organisations.",7.1.2(1)(c) ,Internal
AML_VER09.211223,c24c6dfe-b5fa-4802-81ab-5894795d4362,1,6.2.1.Guidance.2.,"The risk assessment under Rule 6.2.1(c) should identify actions to mitigate risks associated with undertaking NFTF business generally, and the use of eKYC specifically. This is because distinct risks are often likely to arise where business is conducted entirely in an NFTF manner, compared to when the business relationship includes a mix of face-to-face and NFTF interactions. The assessment should make reference to risk mitigation measures recommended by the Regulator, a competent authority of the U.A.E., FATF, and other relevant bodies.

",6.2.1(c) ,Internal
AML_VER09.211223,31f0a7bd-a9fa-4aab-a4b4-32d0a6fb51b2,1,6.1.3.Guidance.7.,"A business risk assessment under Rule 6.1.1(b) should include an assessment of the risks associated with the carrying on of NFTF business, particularly the use of eKYC Systems. The assessment should consider incorporating any relevant mitigation measures identified by the Regulator, a competent authority of the U.A.E., FATF, and any other relevant bodies.

",6.1.1(b),Internal
AML_VER09.211223,34201eec-cbf5-469f-a0c2-759935e137f1,1,5.1.1.Guidance.5.,"Section 4.5 sets out the requirements regarding record-keeping for the purposes of the AML Rulebook. These Rules apply in relation to Rule 5.1.1(b)(iii).

",Section 4.5,Internal
AML_VER09.211223,34201eec-cbf5-469f-a0c2-759935e137f1,1,5.1.1.Guidance.5.,"Section 4.5 sets out the requirements regarding record-keeping for the purposes of the AML Rulebook. These Rules apply in relation to Rule 5.1.1(b)(iii).

",5.1.1(b)(iii),Internal
AML_VER09.211223,bb51c6c0-5515-4091-9e92-a671edcc2bb4,1,4.8.1.Guidance,"
The Regulator considers that a ""relevant body"" in Rule 4.8.1 would include the FIU, any other financial intelligence unit, the police, or an Abu Dhabi or Federal ministry or authority.

",4.8.1,Internal
AML_VER09.211223,641ef80a-a631-455c-b981-eb38f3805187,1,4.6.1.Guidance.2.,"FEES 1.2.7 sets out the fees payable for late submission of Regulatory Filings. In addition to the imposition of a fee, the Regulator may take further action.",FEES 1.2.7,External
AML_VER09.211223,50279685-f928-402a-9067-3395e25f069e,1,4.5.7.Guidance,"
The Regulator considers that ""appropriate measures"" in Rule 4.5.7 may include the maintenance of a training log setting out details of:
(a)	the dates when the training was given;
(b)	the nature of the training; and
(c)	the names of Employees who received the training.",4.5.7,Internal
AML_VER09.211223,1c5a2e03-760c-4263-88bd-eb100e0368b4,1,4.5.5,"Where the records referred to in Rule 4.5.1 are kept by a Relevant Person outside the ADGM, a Relevant Person must:
(a)	take reasonable steps to ensure that the records are held in a manner consistent with these Rules;
(b)	ensure that the records are easily accessible to the Relevant Person; and
(c)	upon request by the Regulator, ensure that the records are immediately available for inspection.",4.5.1,Internal
AML_VER09.211223,54721870-44ed-4aad-a842-fe0cd9ded618,1,4.5.4.Guidance.1.,"The records required to be kept under Rule 4.5.1 may be kept in electronic format, provided that such records are readily accessible and available to respond promptly to any requests from the Regulator for information.",4.5.1,Internal
AML_VER09.211223,c96c05de-76d2-4f05-b2ea-6f4fb9615094,1,4.5.2,"A Relevant Person must immediately provide to the Regulator, upon request, or a law enforcement agency, pursuant to a valid and enforceable request or requirement, a copy of the record referred to in Rule 4.5.1.",4.5.1,Internal
AML_VER09.211223,cc80645c-d8e5-49d0-8321-54ae030b1c09,1,4.2.2,"A Relevant Person must:
(a)	communicate the policies and procedures that it establishes and maintains in accordance with these Rules to its Group entities, branches and subsidiaries; and
(b)	document the basis for its satisfaction that the requirement in Rule 4.2.1(1) is met.",4.2.1(1),Internal
AML_VER09.211223,af781ede-2c41-4be1-9fb9-aa00a598b776,1,2.Guidance.28.,Sanctions. The FATF has issued guidance on Targeted Financial Sanctions.  Such guidance has been issued to assist in implementing the Targeted Financial Sanctions and activity-based financial prohibitions. This guidance can be found on the FATF website www.fatf-gafi.org.,www.fatf-gafi.org,Outsource
AML_VER09.211223,f76b9a6f-0c18-45f8-a962-24b30b9a2da4,1,2.Guidance.25.,"Wolfsberg Group. In the event that any part of the Wolfsberg Group published guidance conflicts with a Rule in the AML Rulebook, the relevant Rule takes precedence.
",Wolfsberg Group,Outsource
AML_VER09.211223,1957c637-9bfd-4c3c-8b7b-3404695a3042,1,2.Guidance.24.,"Wolfsberg Group. The Wolfsberg Group is an association of thirteen global banks that has published guidance aimed at assisting financial institutions in managing money laundering risks (Wolfsberg Statement Guidance on a Risk Based Approach for Managing Money Laundering Risks, March 2006) and in preventing terrorist financing (Wolfsberg Statement on the Suppression of the Financing of Terrorism, January 2002). Banks operating in the ADGM should be familiar with relevant Wolfsberg Group published guidance in conjunction with the FATF Recommendations and in complying with these Rules.","Wolfsberg Statement Guidance on a Risk Based Approach for Managing Money Laundering Risks, March 2006",Outsource
AML_VER09.211223,1957c637-9bfd-4c3c-8b7b-3404695a3042,1,2.Guidance.24.,"Wolfsberg Group. The Wolfsberg Group is an association of thirteen global banks that has published guidance aimed at assisting financial institutions in managing money laundering risks (Wolfsberg Statement Guidance on a Risk Based Approach for Managing Money Laundering Risks, March 2006) and in preventing terrorist financing (Wolfsberg Statement on the Suppression of the Financing of Terrorism, January 2002). Banks operating in the ADGM should be familiar with relevant Wolfsberg Group published guidance in conjunction with the FATF Recommendations and in complying with these Rules.","Wolfsberg Statement on the Suppression of the Financing of Terrorism, January 2002",Outsource
AML_VER09.211223,44115283-c8a3-4906-b380-aeb3195ae6e2,1,2.Guidance.23.,"Basel Committee Standards. In the event that any of the Basel Committee guidelines conflict with a Rule in the AML Rulebook, the relevant Rule takes precedence.
",Basel Committee guidelines,Outsource
AML_VER09.211223,b678dd74-a11d-4f26-81db-5c10268ed81c,1,2.Guidance.22.,"Basel Committee Standards. The Basel Committee on Banking Supervision has published a set of guidelines for banks (Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014) which are intended to supplement FATF Recommendations. Banks operating in the ADGM should read the Basel Committee guidelines in conjunction with FATF Recommendations and in complying with these Rules.","Basel Committee Standards. Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014",Outsource
AML_VER09.211223,e4d316d4-c58f-4393-8ba4-e17aa57c078f,1,2.Guidance.21.,"Financial Action Task Force Standards. A Relevant Person may also wish to refer to the FATF typology reports, which may assist in identifying new money laundering threats and provide information on money laundering and terrorist and proliferation financing methods. The FATF typology reports cover many pertinent topics for Relevant Persons, including corruption, new payment methods, money laundering using trusts and Company Service Providers, and vulnerabilities of free trade zones. These typology reports can be found on the FATF website www.fatf-gafi.org.
",FATF typology reports.  www.fatf-gafi.org,Outsource
AML_VER09.211223,e32b359a-6466-4c67-a18b-274546934a82,1,2.Guidance.2.,"Federal AML Legislation applies in the ADGM.  It is amended as required and new legislation is also published. Persons in the ADGM must ensure they have a current understanding of their obligations under Federal AML Legislation.  The definition of Federal AML Legislation is broad.  It includes all federal legislation as may be in force relating to money laundering, terrorist financing, proliferation financing, the financing of unlawful organisations and sanctions compliance including Targeted Financial Sanctions.  Particular pieces of legislation to be aware of include:
(a)	Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences;
(b)	Federal Decree Law No. (20) of 2018 on Anti-Money Laundering, Combatting the Financing of Terrorism and Financing of Illegal Organisations;
(c)	Cabinet Decision No. (10) of 2019 concerning the Implementing Regulation of Decree Law No. (20) of 2018;
(d)	Cabinet Decision No. (74) of 2020 concerning the Terrorism Lists Regulation and Implementation of UN Security Council Resolutions on the Suppression and Combatting of Terrorism, Terrorist Financing, Countering the Proliferation of Weapons of Mass Destruction and its Financing and Relevant Resolutions.",Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences,Outsource
AML_VER09.211223,e32b359a-6466-4c67-a18b-274546934a82,1,2.Guidance.2.,"Federal AML Legislation applies in the ADGM.  It is amended as required and new legislation is also published. Persons in the ADGM must ensure they have a current understanding of their obligations under Federal AML Legislation.  The definition of Federal AML Legislation is broad.  It includes all federal legislation as may be in force relating to money laundering, terrorist financing, proliferation financing, the financing of unlawful organisations and sanctions compliance including Targeted Financial Sanctions.  Particular pieces of legislation to be aware of include:
(a)	Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences;
(b)	Federal Decree Law No. (20) of 2018 on Anti-Money Laundering, Combatting the Financing of Terrorism and Financing of Illegal Organisations;
(c)	Cabinet Decision No. (10) of 2019 concerning the Implementing Regulation of Decree Law No. (20) of 2018;
(d)	Cabinet Decision No. (74) of 2020 concerning the Terrorism Lists Regulation and Implementation of UN Security Council Resolutions on the Suppression and Combatting of Terrorism, Terrorist Financing, Countering the Proliferation of Weapons of Mass Destruction and its Financing and Relevant Resolutions.","Federal Decree Law No. (20) of 2018 on Anti-Money Laundering, Combatting the Financing of Terrorism and Financing of Illegal Organisations",Outsource
AML_VER09.211223,e32b359a-6466-4c67-a18b-274546934a82,1,2.Guidance.2.,"Federal AML Legislation applies in the ADGM.  It is amended as required and new legislation is also published. Persons in the ADGM must ensure they have a current understanding of their obligations under Federal AML Legislation.  The definition of Federal AML Legislation is broad.  It includes all federal legislation as may be in force relating to money laundering, terrorist financing, proliferation financing, the financing of unlawful organisations and sanctions compliance including Targeted Financial Sanctions.  Particular pieces of legislation to be aware of include:
(a)	Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences;
(b)	Federal Decree Law No. (20) of 2018 on Anti-Money Laundering, Combatting the Financing of Terrorism and Financing of Illegal Organisations;
(c)	Cabinet Decision No. (10) of 2019 concerning the Implementing Regulation of Decree Law No. (20) of 2018;
(d)	Cabinet Decision No. (74) of 2020 concerning the Terrorism Lists Regulation and Implementation of UN Security Council Resolutions on the Suppression and Combatting of Terrorism, Terrorist Financing, Countering the Proliferation of Weapons of Mass Destruction and its Financing and Relevant Resolutions.",Cabinet Decision No. (10) of 2019 concerning the Implementing Regulation of Decree Law No. (20) of 2018,Outsource
