SourceDocumentName,ID,DocumentID,PassageID,Passage,ReferenceText,ReferenceType
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),7399a3ed-2a7e-4573-81ca-760e13812521,1,2.Guidance.1.,"Under Section 15A of FSMR, the Regulator has jurisdiction for the regulation of AML/TFS in the ADGM. The AML Rulebook sets out the requirements imposed by the Regulator. The U.A.E. criminal law applies in the ADGM and, therefore, Persons in the ADGM must be aware of their obligations in respect of the criminal law as well as these Rules. Relevant U.A.E. criminal laws include Federal AML Legislation and Federal Law No. (31) of 2021 (the Penal Code of the United Arab Emirates (U.A.E.)). The Rules in the AML Rulebook should not be relied upon to interpret or determine the application of the criminal laws of the U.A.E.",Section 15A of FSMR,External
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),e32b359a-6466-4c67-a18b-274546934a82,1,2.Guidance.2.,"Federal AML Legislation applies in the ADGM.  It is amended as required and new legislation is also published. Persons in the ADGM must ensure they have a current understanding of their obligations under Federal AML Legislation.  The definition of Federal AML Legislation is broad.  It includes all federal legislation as may be in force relating to money laundering, terrorist financing, proliferation financing, the financing of unlawful organisations and sanctions compliance including Targeted Financial Sanctions.  Particular pieces of legislation to be aware of include:
(a)	Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences;
(b)	Federal Decree Law No. (20) of 2018 on Anti-Money Laundering, Combatting the Financing of Terrorism and Financing of Illegal Organisations;
(c)	Cabinet Decision No. (10) of 2019 concerning the Implementing Regulation of Decree Law No. (20) of 2018;
(d)	Cabinet Decision No. (74) of 2020 concerning the Terrorism Lists Regulation and Implementation of UN Security Council Resolutions on the Suppression and Combatting of Terrorism, Terrorist Financing, Countering the Proliferation of Weapons of Mass Destruction and its Financing and Relevant Resolutions.",Federal Law No. (7) of 2014 regarding Combatting Terrorism Offences,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),c7866158-9376-4817-b30c-d04cd4689981,1,2.Guidance.17.,"The U.A.E. criminal law. Under Article 3 of Federal Decree By Law No. 20 of 2018, a Relevant Person may be criminally liable for the offence of money laundering if such an activity is intentionally committed in its name or for its account. Relevant Persons are also reminded that:
(a)	the failure to report suspicions of money laundering;
(b)	""tipping off""; and
(c)	assisting in the commission of money laundering,
may each constitute a criminal offence that is punishable under the laws of the U.A.E.",Article 3 of Federal Decree By Law No. 20 of 2018,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),c6e36517-0ccc-48af-a345-326379e62f24,1,2.Guidance.19.,Financial Action Task Force Standards. The Financial Action Task Force (FATF) is an inter-governmental body whose purpose is the development and promotion of international standards to combat money laundering and terrorist financing.,Financial Action Task Force Standards,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),ba67296d-d450-4ea0-844b-4034bd944c5c,1,2.Guidance.20.,"Financial Action Task Force Standards. The Regulator has had regard to the FATF Recommendations in making these Rules and has determined to closely align these Rules with the FATF Recommendations, where that is deemed to be necessary and appropriate. A Relevant Person may wish to refer to the FATF Recommendations and Interpretive Notes to assist it in complying with these Rules. However, in the event that a FATF Recommendation or Interpretive Note conflicts with a Rule in the AML Rulebook, the relevant Rule takes precedence.",FATF Recommendations and Interpretive Notes,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),e4d316d4-c58f-4393-8ba4-e17aa57c078f,1,2.Guidance.21.,"Financial Action Task Force Standards. A Relevant Person may also wish to refer to the FATF typology reports, which may assist in identifying new money laundering threats and provide information on money laundering and terrorist and proliferation financing methods. The FATF typology reports cover many pertinent topics for Relevant Persons, including corruption, new payment methods, money laundering using trusts and Company Service Providers, and vulnerabilities of free trade zones. These typology reports can be found on the FATF website www.fatf-gafi.org.
",www.fatf-gafi.org,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),b678dd74-a11d-4f26-81db-5c10268ed81c,1,2.Guidance.22.,"Basel Committee Standards. The Basel Committee on Banking Supervision has published a set of guidelines for banks (Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014) which are intended to supplement FATF Recommendations. Banks operating in the ADGM should read the Basel Committee guidelines in conjunction with FATF Recommendations and in complying with these Rules.","Basel Committee Standards. Sound Management of Risks related to Money Laundering and Financing of Terrorism, January 2014",Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),44115283-c8a3-4906-b380-aeb3195ae6e2,1,2.Guidance.23.,"Basel Committee Standards. In the event that any of the Basel Committee guidelines conflict with a Rule in the AML Rulebook, the relevant Rule takes precedence.
",Basel Committee guidelines,Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),1957c637-9bfd-4c3c-8b7b-3404695a3042,1,2.Guidance.24.,"Wolfsberg Group. The Wolfsberg Group is an association of thirteen global banks that has published guidance aimed at assisting financial institutions in managing money laundering risks (Wolfsberg Statement Guidance on a Risk Based Approach for Managing Money Laundering Risks, March 2006) and in preventing terrorist financing (Wolfsberg Statement on the Suppression of the Financing of Terrorism, January 2002). Banks operating in the ADGM should be familiar with relevant Wolfsberg Group published guidance in conjunction with the FATF Recommendations and in complying with these Rules.","Wolfsberg Statement Guidance on a Risk Based Approach for Managing Money Laundering Risks, March 2006",Outsource
AML_VER09.211223; AML; Anti-Money Laundering and Sanctions Rules and Guidance; Anti-Money Laundering and Sanctions Rules and Guidance (AML),f76b9a6f-0c18-45f8-a962-24b30b9a2da4,1,2.Guidance.25.,"Wolfsberg Group. In the event that any part of the Wolfsberg Group published guidance conflicts with a Rule in the AML Rulebook, the relevant Rule takes precedence.
",Wolfsberg Group,Outsource
